,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.15018601715564728,0.06417068094015121,0.0016897749155759811,0.1941794455051422,0.06316603720188141,0.04634924605488777,0.4802587628364563
30,0.12394590675830841,0.06657419353723526,0.0013510379940271378,0.22159169614315033,0.05548183619976044,0.035809196531772614,0.495246022939682
60,0.18191470205783844,0.06918200850486755,0.0016999879153445363,0.18510937690734863,0.060557980090379715,0.05303477123379707,0.4485011696815491
90,0.13564692437648773,0.0632072165608406,0.0020107582677155733,0.22247786819934845,0.0636206567287445,0.060090091079473495,0.4529464542865753
120,0.09276760369539261,0.059593889862298965,0.00177088868804276,0.2581438720226288,0.07034231722354889,0.051654890179634094,0.4657266139984131
150,0.0961257591843605,0.06441693753004074,0.0011813945602625608,0.32128429412841797,0.05096006765961647,0.025039155036211014,0.4409922659397125
180,0.12560050189495087,0.07148176431655884,0.0012693082680925727,0.31653106212615967,0.042233388870954514,0.03219795599579811,0.41068604588508606
210,0.013988404534757137,0.03547610342502594,0.000734756060410291,0.24917301535606384,0.007154972292482853,0.03153166174888611,0.6619411110877991
240,0.011039935983717442,0.03654937818646431,0.0006035460974089801,0.34686505794525146,0.00476387282833457,0.025877246633172035,0.57430100440979
270,0.007639842573553324,0.04034919664263725,0.00036334525793790817,0.2921926975250244,0.005707532167434692,0.016752203926444054,0.6369951963424683
300,0.014546114020049572,0.05396302044391632,0.0004816728178411722,0.13752077519893646,0.009239417500793934,0.016299515962600708,0.7679495215415955
330,0.015968631953001022,0.05379413440823555,0.0004643161373678595,0.12471332401037216,0.008830537088215351,0.018491948023438454,0.7777371406555176
360,0.14277824759483337,0.05245058238506317,0.002376868389546871,0.19332650303840637,0.08631066977977753,0.07873091101646423,0.4440261721611023
390,0.10957145690917969,0.05168082192540169,0.001968264114111662,0.26140138506889343,0.06058099865913391,0.053655143827199936,0.4611419439315796
420,0.11613263934850693,0.0540216788649559,0.0018629694823175669,0.2905147075653076,0.061343368142843246,0.051465801894664764,0.42465880513191223
450,0.12910617887973785,0.057342905551195145,0.0010614537168294191,0.33736923336982727,0.04219527542591095,0.028594056144356728,0.4043308198451996
480,0.13329918682575226,0.05734289437532425,0.0010474671144038439,0.34543177485466003,0.03734947741031647,0.02670866996049881,0.3988204598426819
510,0.023337192833423615,0.047829847782850266,0.0006928586517460644,0.21332694590091705,0.00961639080196619,0.020559629425406456,0.684637188911438
540,0.011198794469237328,0.03777353838086128,0.0005446344730444252,0.2772550582885742,0.005111568607389927,0.025900544598698616,0.6422159671783447
570,0.011640435084700584,0.04025829955935478,0.0006408098270185292,0.28663527965545654,0.005104664247483015,0.026878435164690018,0.6288421154022217
600,0.08987057209014893,0.045247554779052734,0.0018366557778790593,0.2875075340270996,0.06584782153367996,0.048847611993551254,0.46084222197532654
630,0.09421311318874359,0.04505782574415207,0.0016707031754776835,0.3013977110385895,0.06073691323399544,0.04728468134999275,0.44963905215263367
660,0.1192159578204155,0.049783773720264435,0.0018891040235757828,0.24614302814006805,0.06550130993127823,0.05277704820036888,0.464689701795578
690,0.08027209341526031,0.049979183822870255,0.0016369931399822235,0.3032090961933136,0.06160493567585945,0.03825497254729271,0.46504271030426025
720,0.06835611909627914,0.046182338148355484,0.001591770676895976,0.3422568440437317,0.06283148378133774,0.03717704862356186,0.4416044056415558
750,0.0979096069931984,0.05146872624754906,0.001290410291403532,0.3579038679599762,0.043877679854631424,0.02788212150335312,0.41966769099235535
780,0.12319327890872955,0.05162093788385391,0.0014067746233195066,0.3472980558872223,0.040533777326345444,0.029445938766002655,0.40650126338005066
810,0.021462608128786087,0.04317600652575493,0.0007883424987085164,0.3096846044063568,0.008504941128194332,0.027729041874408722,0.5886545181274414
840,0.011559492908418179,0.036953266710042953,0.0005110880010761321,0.3204821050167084,0.005535654723644257,0.02374713495373726,0.6012112498283386
870,0.00978176761418581,0.03851327672600746,0.0005461190594360232,0.303183376789093,0.004591881297528744,0.025973517447710037,0.6174101233482361
900,0.008016551844775677,0.043312493711709976,0.00046439957804977894,0.3138679563999176,0.00393544090911746,0.019726518541574478,0.6106767058372498
930,0.00879891961812973,0.04168781638145447,0.0005286269006319344,0.3877994418144226,0.004393550101667643,0.02228911593556404,0.5345025658607483
960,0.0899328663945198,0.053234633058309555,0.0016983234090730548,0.27952298521995544,0.07328765839338303,0.044507045298814774,0.45781654119491577
990,0.07505704462528229,0.0407976433634758,0.0017629708163440228,0.2992076277732849,0.06061570718884468,0.043264586478471756,0.47929441928863525
1020,0.1369597613811493,0.0546526163816452,0.002093119779601693,0.23681707680225372,0.0504927858710289,0.05101379379630089,0.4679708778858185
1050,0.09247611463069916,0.06246600300073624,0.001730054384097457,0.3121403455734253,0.052303291857242584,0.03474126756191254,0.4441429674625397
