,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.0296272374689579,0.08821592479944229,0.1875501573085785,0.1073557510972023,0.2912331223487854,0.100960873067379,0.1950570046901703
24,0.0296272374689579,0.08821592479944229,0.1875501573085785,0.1073557510972023,0.2912331223487854,0.100960873067379,0.1950570046901703
48,0.026423487812280655,0.07199858874082565,0.2390313744544983,0.044127486646175385,0.33011025190353394,0.14545202255249023,0.14285677671432495
72,0.033976051956415176,0.08423003554344177,0.12268904596567154,0.15653929114341736,0.21394722163677216,0.12141796201467514,0.26720044016838074
96,0.011500072665512562,0.05569204315543175,0.0741489976644516,0.10207542032003403,0.4760020077228546,0.06576646119356155,0.21481500566005707
120,0.025657135993242264,0.07441733032464981,0.12589015066623688,0.1324777901172638,0.18996676802635193,0.07093530893325806,0.3806554973125458
144,0.023429732769727707,0.08007888495922089,0.0933355838060379,0.1555464267730713,0.2023826539516449,0.053169362246990204,0.3920573592185974
168,0.055207569152116776,0.11279959231615067,0.19563154876232147,0.11945445835590363,0.12495292723178864,0.07845538854598999,0.31349846720695496
192,0.048147253692150116,0.09832477569580078,0.3051469922065735,0.06007103994488716,0.18615283071994781,0.08766218274831772,0.2144949734210968
216,0.0356413871049881,0.09183073788881302,0.15169860422611237,0.10347314178943634,0.17656022310256958,0.08328709006309509,0.3575088679790497
240,0.03253069147467613,0.08146891742944717,0.23690567910671234,0.06741341203451157,0.18072561919689178,0.10802480578422546,0.29293084144592285
264,0.028886009007692337,0.07567419856786728,0.1901959925889969,0.08766375482082367,0.16507689654827118,0.10450994223356247,0.3479931056499481
288,0.024338483810424805,0.06350427865982056,0.19110219180583954,0.09880783408880234,0.15781356394290924,0.12375016510486603,0.3406834602355957
312,0.007430444471538067,0.04114694520831108,0.10031378269195557,0.03613222762942314,0.5603044033050537,0.07564697414636612,0.17902523279190063
336,0.009411990642547607,0.04474858567118645,0.048848073929548264,0.04253092408180237,0.6132071018218994,0.053240880370140076,0.18801242113113403
360,0.006849492434412241,0.04006904736161232,0.05240936204791069,0.04590644687414169,0.5913792252540588,0.06574181467294693,0.19764459133148193
384,0.004254272673279047,0.030192596837878227,0.07155896723270416,0.029580367729067802,0.6655459403991699,0.05829932540655136,0.1405685395002365
408,0.004065857734531164,0.026523509994149208,0.06625369936227798,0.03740949556231499,0.6634343862533569,0.054022856056690216,0.1482902318239212
432,0.004477131646126509,0.02954450622200966,0.025142421945929527,0.04013996571302414,0.6774029731750488,0.03691398352384567,0.18637898564338684
456,0.0043445308692753315,0.03600446507334709,0.022731710225343704,0.1373201459646225,0.30348679423332214,0.028665171936154366,0.4674471914768219
480,0.020839504897594452,0.06148132309317589,0.09913705289363861,0.08451817184686661,0.22974824905395508,0.08769118040800095,0.41658446192741394
504,0.023995552211999893,0.06127170845866203,0.08628429472446442,0.12009885162115097,0.1500760167837143,0.0823461040854454,0.475927472114563
528,0.021891530603170395,0.05966990068554878,0.12605755031108856,0.07874778658151627,0.2092641443014145,0.09401197731494904,0.41035720705986023
552,0.0206809900701046,0.05632811412215233,0.13730625808238983,0.07408231496810913,0.22869226336479187,0.09098000079393387,0.39193007349967957
576,0.018322397023439407,0.06081939488649368,0.08483565598726273,0.09611865878105164,0.203084796667099,0.07749541103839874,0.4593237340450287
600,0.006781984120607376,0.03282618522644043,0.04494297504425049,0.03830556944012642,0.6202062368392944,0.06077127158641815,0.1961657851934433
624,0.005607519298791885,0.02810312993824482,0.05195857957005501,0.03777056932449341,0.6357107162475586,0.05358210951089859,0.18726736307144165
648,0.003330805106088519,0.025533420965075493,0.03185713291168213,0.025226455181837082,0.7483306527137756,0.029928335919976234,0.13579319417476654
672,0.0038233830127865076,0.027013245970010757,0.03466884419322014,0.02417682111263275,0.7392229437828064,0.030845224857330322,0.1402495801448822
696,0.005329555831849575,0.03470521420240402,0.033651698380708694,0.019995233044028282,0.7224710583686829,0.03441990539431572,0.1494273543357849
720,0.0028645070269703865,0.02183813415467739,0.03797827661037445,0.03904082998633385,0.705615222454071,0.03782052919268608,0.15484243631362915
744,0.003021923126652837,0.02296183444559574,0.035502851009368896,0.04007981717586517,0.6944049596786499,0.039600521326065063,0.16442811489105225
768,0.005560062360018492,0.039467744529247284,0.027811210602521896,0.113398477435112,0.3492443263530731,0.039870064705610275,0.4246480464935303
792,0.021083729341626167,0.06593260914087296,0.15510962903499603,0.10806169360876083,0.16347576677799225,0.1134684830904007,0.3728680908679962
816,0.020688723772764206,0.06519708782434464,0.0841698944568634,0.12466663122177124,0.15557675063610077,0.0829811692237854,0.46671974658966064
840,0.015240980312228203,0.06236724555492401,0.12753912806510925,0.10250865668058395,0.19213388860225677,0.0935504287481308,0.4066597521305084
864,0.015890071168541908,0.0526459738612175,0.11809121072292328,0.10703444480895996,0.15503118932247162,0.10608937591314316,0.44521766901016235
888,0.02487531304359436,0.06963798403739929,0.17885546386241913,0.10757366567850113,0.1454782783985138,0.12663951516151428,0.3469397723674774
912,0.03304759040474892,0.06402605772018433,0.13787537813186646,0.11639222502708435,0.09752824902534485,0.14680910110473633,0.40432143211364746
