,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.014264149591326714,0.040653716772794724,0.1669682115316391,0.07800429314374924,0.17727066576480865,0.09909625351428986,0.4237426519393921
24,0.01563233509659767,0.04439694061875343,0.15636608004570007,0.08385162800550461,0.18260283768177032,0.09622266888618469,0.4209275543689728
48,0.016692541539669037,0.041750699281692505,0.1486310213804245,0.10390833020210266,0.15175950527191162,0.11911774426698685,0.418140172958374
72,0.017395177856087685,0.04630926996469498,0.14289787411689758,0.09085406363010406,0.18676933646202087,0.10467763990163803,0.4110966622829437
96,0.01758081279695034,0.047766461968421936,0.21958120167255402,0.08564569801092148,0.16737322509288788,0.11873254925012589,0.3433201014995575
120,0.0035010389983654022,0.01143096573650837,0.04240279272198677,0.3190804719924927,0.471540629863739,0.06646697968244553,0.08557707071304321
144,0.0035010389983654022,0.01143096573650837,0.04240279272198677,0.3190804719924927,0.471540629863739,0.06646697968244553,0.08557707071304321
168,0.003428308991715312,0.012747191824018955,0.043521951884031296,0.33790165185928345,0.4418509006500244,0.06915995478630066,0.09139003604650497
192,0.0035299956798553467,0.01127694547176361,0.04029408097267151,0.31225091218948364,0.4584944546222687,0.07802703976631165,0.09612652659416199
216,0.004149074666202068,0.012600880116224289,0.04251278564333916,0.35673049092292786,0.41311949491500854,0.07813232392072678,0.09275493770837784
240,0.0031519888434559107,0.011683093383908272,0.04791027680039406,0.3407991826534271,0.400948166847229,0.10038576275110245,0.09512151777744293
264,0.0025209353771060705,0.010782236233353615,0.04465882107615471,0.27029111981391907,0.4935528635978699,0.0883885994553566,0.08980543166399002
288,0.004962623585015535,0.029708964750170708,0.01998257264494896,0.09211333096027374,0.33356860280036926,0.032450832426548004,0.4872131645679474
312,0.01511628832668066,0.04989558830857277,0.17781633138656616,0.09854302555322647,0.19600477814674377,0.11489918828010559,0.34772488474845886
336,0.012879065237939358,0.040736593306064606,0.130557119846344,0.10503113269805908,0.1924947053194046,0.09522883594036102,0.42307254672050476
360,0.015186633914709091,0.04492552578449249,0.14801979064941406,0.0909208357334137,0.19425757229328156,0.11953295767307281,0.3871566951274872
384,0.013621303252875805,0.0465540885925293,0.16907541453838348,0.09603115916252136,0.18865838646888733,0.10971447080373764,0.376345157623291
408,0.014617962762713432,0.04283780977129936,0.13718242943286896,0.11234164237976074,0.18815968930721283,0.09849347174167633,0.4063669741153717
432,0.01149334292858839,0.03204900398850441,0.12662294507026672,0.1116856262087822,0.1699269860982895,0.10634743422269821,0.4418747127056122
456,0.0028476498555392027,0.014018007554113865,0.048525869846343994,0.2719483971595764,0.47305047512054443,0.07481703907251358,0.11479250341653824
480,0.0031396523118019104,0.014108838513493538,0.052099186927080154,0.27966007590293884,0.46508336067199707,0.0815955102443695,0.10431335121393204
504,0.0034247059375047684,0.013698987662792206,0.050857774913311005,0.28804630041122437,0.45990219712257385,0.08528857678174973,0.09878143668174744
528,0.0029598232358694077,0.011357470415532589,0.050057459622621536,0.2695825695991516,0.5219411253929138,0.06616810709238052,0.07793347537517548
552,0.004053066018968821,0.014433409087359905,0.05436425283551216,0.3475305140018463,0.34499391913414,0.12186019122600555,0.1127646267414093
576,0.004909257870167494,0.01644347608089447,0.08944925665855408,0.3206961154937744,0.36813029646873474,0.11820612102746964,0.08216546475887299
600,0.01226124633103609,0.03727491572499275,0.12942297756671906,0.1329193413257599,0.17473870515823364,0.11507967859506607,0.3983030915260315
624,0.00986318290233612,0.040288303047418594,0.09760976582765579,0.11590037494897842,0.20984171330928802,0.09600319713354111,0.43049338459968567
648,0.010171881876885891,0.04059060662984848,0.11979549378156662,0.09978299587965012,0.23204688727855682,0.1040726900100708,0.39353951811790466
672,0.009383236058056355,0.041419241577386856,0.10139363259077072,0.10719756782054901,0.2283112108707428,0.09602297842502594,0.41627219319343567
696,0.01175716333091259,0.04464493319392204,0.1015750914812088,0.09608756750822067,0.2103743553161621,0.11121130734682083,0.4243495762348175
720,0.00990092009305954,0.036999523639678955,0.12390238791704178,0.1082058697938919,0.22738678753376007,0.10222720354795456,0.3913773000240326
744,0.014292338863015175,0.033046260476112366,0.08595093339681625,0.13642120361328125,0.1574748009443283,0.0986887738108635,0.4741256833076477
768,0.004117734730243683,0.014010543003678322,0.07484808564186096,0.3200511932373047,0.36466848850250244,0.12783442437648773,0.09446946531534195
792,0.0051000723615288734,0.018528521060943604,0.07776693254709244,0.3038744628429413,0.33888962864875793,0.1338745504617691,0.12196577340364456
816,0.005794619210064411,0.019852297380566597,0.08364932239055634,0.3987048864364624,0.27445873618125916,0.11538606882095337,0.10215403139591217
840,0.004713444039225578,0.018478376790881157,0.08408311009407043,0.45949360728263855,0.2357276827096939,0.10136321932077408,0.09614063799381256
864,0.004393810406327248,0.019538860768079758,0.07907886058092117,0.3963039517402649,0.2985092103481293,0.09861721098423004,0.10355810821056366
888,0.0037541433703154325,0.014470665715634823,0.0793495923280716,0.3779429495334625,0.32981574535369873,0.10697156190872192,0.08769535273313522
912,0.0051893205381929874,0.020584044978022575,0.09224739670753479,0.34939470887184143,0.28373417258262634,0.13557644188404083,0.11327382177114487
